id_unique;url;prix;cp;type;date_vente;status;titre
Appartement UN EMPLACEMENT DE PARKING EXTERIEUR, UN BOX GARAGE et UN APPARTEMENT à MARSEILLE 93 Trav. Charles Susini, 13013 Marseille,_13013_72000;https://avoventes.fr/recherche/toutes;72000.0;13013.0;Appartement;06/05/2026;terminee;Appartement UN EMPLACEMENT DE PARKING EXTERIEUR, UN BOX GARAGE et UN APPARTEMENT à MARSEILLE 93 Trav. Charles Susini, 13013 Marseille,
Villa VILLA à ROQUEBRUNE CAP MARTIN 24 Av. Varavilla, 06190 Roquebrune-Cap-Martin,_06190_12800000;https://avoventes.fr/recherche/toutes;12800000.0;6190.0;Villa;07/05/2026;terminee;Villa VILLA à ROQUEBRUNE CAP MARTIN 24 Av. Varavilla, 06190 Roquebrune-Cap-Martin,
Maison Une maison individuelle et un emplacement de stationnement à Mandelieu la Napoule 161 Rue Yves Brayer, 06210 Mandelieu-la-Napoule,_06210_25000;https://avoventes.fr/recherche/toutes;25000.0;6210.0;Maison;07/05/2026;terminee;Maison Une maison individuelle et un emplacement de stationnement à Mandelieu la Napoule 161 Rue Yves Brayer, 06210 Mandelieu-la-Napoule,
Studio UN STUDIO A CANNES 15 Rue Jean Cresp, 06400 Cannes,_06400_80000;https://avoventes.fr/recherche/toutes;80000.0;6400.0;Autre;07/05/2026;terminee;Studio UN STUDIO A CANNES 15 Rue Jean Cresp, 06400 Cannes,
Appartement UN APPARTEMENT - UNE CAVE ET UN PARKING A CANNES 5 Bd Cointet 3 a, 06400 Cannes,_06400_13000;https://avoventes.fr/recherche/toutes;13000.0;6400.0;Appartement;07/05/2026;terminee;Appartement UN APPARTEMENT - UNE CAVE ET UN PARKING A CANNES 5 Bd Cointet 3 a, 06400 Cannes,
Autres UNE PIECE ET ALCOVE A CANNES 151 Bd de la République, 06400 Cannes,_06400_8000;https://avoventes.fr/recherche/toutes;8000.0;6400.0;Autre;07/05/2026;terminee;Autres UNE PIECE ET ALCOVE A CANNES 151 Bd de la République, 06400 Cannes,
Appartement UN APPARTEMENT ET UNE CAVE A CANNES 4 Av. des Coteaux, 06400 Cannes,_06400_60000;https://avoventes.fr/recherche/toutes;60000.0;6400.0;Appartement;07/05/2026;terminee;Appartement UN APPARTEMENT ET UNE CAVE A CANNES 4 Av. des Coteaux, 06400 Cannes,
Local commercial LOCAL COMMERCIAL + RESERVE 6 Rue Cornilliot 13 15, 77400 Thorigny-sur-Marne,_77400_60000;https://avoventes.fr/recherche/toutes;60000.0;77400.0;Local commercial;07/05/2026;terminee;Local commercial LOCAL COMMERCIAL + RESERVE 6 Rue Cornilliot 13 15, 77400 Thorigny-sur-Marne,
Maison Une maison d’habitation à MALLELOY 2 Rés du Parc, 54670 Malleloy,_54670_118000;https://avoventes.fr/recherche/toutes;118000.0;54670.0;Maison;07/05/2026;terminee;Maison Une maison d’habitation à MALLELOY 2 Rés du Parc, 54670 Malleloy,
Maison MAISON D'HABITATION SISE A BETON-BAZOCHES 77320 19 Rte nationale, 77320 Beton-Bazoches,_77320_100000;https://avoventes.fr/recherche/toutes;100000.0;77320.0;Maison;07/05/2026;terminee;Maison MAISON D'HABITATION SISE A BETON-BAZOCHES 77320 19 Rte nationale, 77320 Beton-Bazoches,
Terrain 3 parcelles de terrain 54000 Nancy,_54000_20000;https://avoventes.fr/recherche/toutes;20000.0;54000.0;Terrain;07/05/2026;terminee;Terrain 3 parcelles de terrain 54000 Nancy,
Appartement APPARTEMENT + BOX + CAVE à PUTEAUX 16 Rue Delarivière Lefoullon, 92800 Puteaux,_92800_180000;https://avoventes.fr/recherche/toutes;180000.0;92800.0;Appartement;07/05/2026;terminee;Appartement APPARTEMENT + BOX + CAVE à PUTEAUX 16 Rue Delarivière Lefoullon, 92800 Puteaux,
Maison MAISON à BIGANOS 9 Chem. de Dupin, 33380 Biganos,_33380_95000;https://avoventes.fr/recherche/toutes;95000.0;33380.0;Maison;07/05/2026;terminee;Maison MAISON à BIGANOS 9 Chem. de Dupin, 33380 Biganos,
Propriété Ensemble immobilier à DAMPNIAT 78 Sénéchal, 19360 Dampniat,_19360_650000;https://avoventes.fr/recherche/toutes;650000.0;19360.0;Autre;11/05/2026;terminee;Propriété Ensemble immobilier à DAMPNIAT 78 Sénéchal, 19360 Dampniat,
Maison MAISON A CIRES LES MELLO 13 Rue du Pont Neuf, 60660 Cires-lès-Mello,_60660_70000;https://avoventes.fr/recherche/toutes;70000.0;60660.0;Maison;12/05/2026;terminee;Maison MAISON A CIRES LES MELLO 13 Rue du Pont Neuf, 60660 Cires-lès-Mello,
Appartement APPARTEMENT à NOGENT SUR OISE 1 Rue la Rochefoucauld, 60180 Nogent-sur-Oise,_60180_38000;https://avoventes.fr/recherche/toutes;38000.0;60180.0;Appartement;12/05/2026;terminee;Appartement APPARTEMENT à NOGENT SUR OISE 1 Rue la Rochefoucauld, 60180 Nogent-sur-Oise,
Maison MAISON DIVISÉE EN DEUX LOGEMENTS A LIVRY-GARGAN 93190 Livry-Gargan,_93190_332500;https://avoventes.fr/recherche/toutes;332500.0;93190.0;Maison;12/05/2026;terminee;Maison MAISON DIVISÉE EN DEUX LOGEMENTS A LIVRY-GARGAN 93190 Livry-Gargan,
Appartement APPARTEMENT + CAVE + GARAGE à ROSNY-SOUS-BOIS 6 All. Ambroise Thomas, 93110 Rosny-sous-Bois,_93110_30000;https://avoventes.fr/recherche/toutes;30000.0;93110.0;Appartement;12/05/2026;terminee;Appartement APPARTEMENT + CAVE + GARAGE à ROSNY-SOUS-BOIS 6 All. Ambroise Thomas, 93110 Rosny-sous-Bois,
Appartement APPARTEMENT + EMPLACEMENT DE STATIONNEMENT à LA PLAINE-SAINT-DENIS 7 Rue Flora Tristan, 93210 Saint-Denis,_93210_30000;https://avoventes.fr/recherche/toutes;30000.0;93210.0;Appartement;12/05/2026;terminee;Appartement APPARTEMENT + EMPLACEMENT DE STATIONNEMENT à LA PLAINE-SAINT-DENIS 7 Rue Flora Tristan, 93210 Saint-Denis,
Appartement Appartement à VERSAILLES 2 Rue Bernard de Jussieu, 78000 Versailles,_78000_40000;https://avoventes.fr/recherche/toutes;40000.0;78000.0;Appartement;13/05/2026;terminee;Appartement Appartement à VERSAILLES 2 Rue Bernard de Jussieu, 78000 Versailles,
Maison MAISON A CONFLANS SAINTE HONORINE 6 Chem. de Gaillon, 78700 Conflans-Sainte-Honorine,_78700_150000;https://avoventes.fr/recherche/toutes;150000.0;78700.0;Maison;13/05/2026;terminee;Maison MAISON A CONFLANS SAINTE HONORINE 6 Chem. de Gaillon, 78700 Conflans-Sainte-Honorine,
